"","ASV","Feature.ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Consensus"
"2763","ASV1199","9508e9e8a80bf5a25f16ca70001baad5","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Diaporthales",NA,NA,NA,1
"2764","ASV2644","950908c40cc85f0a947fdfc2008e9fc6","d__Eukaryota"," p__Basidiomycota"," c__Ustilaginomycetes"," o__Ustilaginales"," f__Ustilaginaceae",NA,NA,1
"2765","ASV2040","9509b9724dc68525c708e0e599a4e4f2","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes",NA,NA,NA,NA,0.6
"2766","ASV2918","951b7da7d1bb2aa3bfc395138fbf1c58","d__Eukaryota"," p__Basidiomycota"," c__Microbotryomycetes"," o__Microbotryomycetes"," f__Microbotryomycetes"," g__Microbotryomycetes"," s__Trigonosporomyces_hylophilus",1
"2767","ASV344","9523e23307ab73d89caff54f7e64eea9","d__Eukaryota"," p__Ascomycota",NA,NA,NA,NA,NA,1
"2768","ASV4051","952550d8336db79775383538478346b1","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Xylariales"," f__Apiosporaceae"," g__Arthrinium",NA,0.6
"2769","ASV1711","952d9fda866475f146a0f4259dd25404","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Pleosporales",NA,NA,NA,0.9
"2770","ASV3278","952fa4eda99528b8b78986df9b92f4b7","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales",NA,NA,NA,0.9
"2771","ASV1103","95308cda1399bd94b7ea9cdd6e94b726","d__Eukaryota"," p__Labyrinthulomycetes"," c__Labyrinthulomycetes"," o__Labyrinthulomycetes"," f__Labyrinthulaceae"," g__Labyrinthula"," s__uncultured_labyrinthulid",1
"2772","ASV3293","953709bfca0a58e08f0f82df70cd7878","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,1
"2773","ASV601","953b3ec7acc3d3669458c1a13787a288","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Capnodiales",NA,NA,NA,0.7
"2774","ASV1561","9545ca982420fc90378261b94e116afa","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Venturiales"," f__Sympoventuriaceae"," g__Ochroconis",NA,0.6
"2775","ASV4382","954dc3b853623dd1b1a318397a008cb1","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Pleosporales"," f__Didymellaceae"," g__Boeremia"," s__Boeremia_exigua",0.9
"2776","ASV2056","955e8da12abbd284b1e4ef6d5743e885","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Polyporales",NA,NA,NA,0.7
"2777","ASV3753","955f0a1c6a2d0a9d9f43dfceae269209","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Pleosporales"," f__Didymellaceae"," g__Boeremia"," s__Boeremia_exigua",0.6
"2778","ASV1866","9561a844266f8e6fbb900ca39ae258b1","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes",NA,NA,NA,NA,0.6
"2779","ASV1807","9564d4e8c68f5c0fab9e3c35a6999b11","d__Eukaryota"," p__Ascomycota"," c__Leotiomycetes"," o__Helotiales"," f__Incertae_Sedis"," g__Tetracladium",NA,0.6
"2780","ASV3870","958b8d9b3fb7b568f27ae554e1918862","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Agaricales",NA,NA,NA,1
"2781","ASV1726","9593cc19a5eef08808fcfa80b45ba951","d__Eukaryota"," p__Basidiomycota"," c__Microbotryomycetes"," o__Incertae_Sedis",NA,NA,NA,0.7
"2782","ASV2389","95dfd6d7dea588db9adef630e8ddb992","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Capnodiales"," f__Cladosporiaceae"," g__Cladosporium"," s__uncultured_fungus",0.7
"2783","ASV4105","9608237fec3dfb58d7feb224dbbb8c26","d__Eukaryota"," p__Ascomycota"," c__Saccharomycetes"," o__Saccharomycetales"," f__Debaryomycetaceae"," g__Yamadazyma-Candida_clade",NA,1
"2784","ASV4628","9608fc9256f20c7dc52933c71be66add","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,1
"2785","ASV4387","963812a60965bbb862579e53e47b599a","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Diaporthales",NA,NA,NA,0.9
"2786","ASV2453","963a7e1fdd70e452e20f32cb44581dd6","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,1
"2787","ASV2575","964065cda05405fd4239187bc9dc5c25","d__Eukaryota"," p__Basidiomycota"," c__Exobasidiomycetes"," o__Microstromatales",NA,NA,NA,0.8
"2788","ASV2590","964211d7066617b9fb375e4dd56a37e8","d__Eukaryota"," p__Basidiomycota"," c__Cystobasidiomycetes",NA,NA,NA,NA,1
"2789","ASV3900","965f533aef20c39b1e9a7fb38582b988","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales",NA,NA,NA,0.6
"2790","ASV4435","9660df95066e98575605d6ef1d28662e","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes",NA,NA,NA,NA,1
"2791","ASV4336","96732ac06a30013ee07edc3f1b367b43","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Pleosporales",NA,NA,NA,1
"2792","ASV221","9675bff57689ef5f11a1f961768723d7","d__Eukaryota"," p__Basidiomycota"," c__Agaricostilbomycetes"," o__Agaricostilbales"," f__Agaricostilbaceae",NA,NA,0.6
"2793","ASV3832","96a85fa5c360269aa4a1d5ce68195d53","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales"," f__Incertae_Sedis",NA,NA,0.6
"2794","ASV3035","96b0476291f6dae92a94bd5eb394465d","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Glomerellales"," f__Plectosphaerellaceae"," g__Verticillium",NA,0.6
"2795","ASV1256","96b9dde5a2f8b10791691ce6e6b8d773","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Pleosporales",NA,NA,NA,1
"2796","ASV3808","96d933b93f8d13660bbdbf3db0efa6f9","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Ophiostomatales"," f__Ophiostomataceae",NA,NA,0.9
"2797","ASV2215","96e793a3c22f54b7fbfb651d2797b967","d__Eukaryota"," p__Ascomycota"," c__Saccharomycetes"," o__Saccharomycetales"," f__Phaffomycetaceae"," g__Komagataella",NA,0.8
"2798","ASV3456","96ebba1f45bba7ec3274033da5110703","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Botryosphaeriales",NA,NA,NA,0.6
"2799","ASV4002","96f39c29b8bffcca1dd104c129d067f3","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Glomerellales"," f__Glomerellaceae"," g__Colletotrichum",NA,1
"2800","ASV2313","97014a0a626bc37db7f9297df3568870","d__Eukaryota"," p__Chytridiomycota"," c__Chytridiomycetes"," o__Chytridiales",NA,NA,NA,0.7
"2801","ASV3584","970569219b3a9603da0e492c972992e9","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes",NA,NA,NA,NA,0.9
"2802","ASV1237","970afbfd80dc1696b5ab1a88318e6f04","d__Eukaryota"," p__Basidiomycota"," c__Agaricostilbomycetes"," o__Agaricostilbales"," f__Agaricostilbaceae",NA,NA,0.8
"2803","ASV4264","9715f37e5414dc32cdad34e1300c00cd","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes",NA,NA,NA,NA,1
"2804","ASV274","9716f088068cc4769fd57d32467cec6b","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Pleosporales",NA,NA,NA,1
"2805","ASV3910","9729497d6795fdf0dfe0c032d904596c","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Venturiales"," f__Sympoventuriaceae",NA,NA,0.7
"2806","ASV623","97450142dc6caacee05548effd229964","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Pleosporales",NA,NA,NA,1
"2807","ASV2386","9745c9bb7a5be30630c443b8a2762852","d__Eukaryota"," p__Basidiomycota"," c__Tremellomycetes"," o__Trichosporonales"," f__Trichosporonaceae"," g__Cutaneotrichosporon",NA,0.6
"2808","ASV1289","974a3b40f9d7e04ac9a1609cec0886a4","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Pleosporales",NA,NA,NA,0.9
"2809","ASV1365","978d9344512c2bb3920d6f17c97d2240","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Agaricales",NA,NA,NA,0.9
"2810","ASV2497","979c80e4af719c4a5edf023240be3a4b","d__Eukaryota"," p__Basidiomycota"," c__Tremellomycetes"," o__Tremellales"," f__Cuniculitremaceae"," g__Kockovaella",NA,0.8
"2811","ASV4700","97a3da2e54fc03e80e3e90f6187f39a1","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes",NA,NA,NA,NA,1
"2812","ASV2030","97cc632ec25640885be55657dce86160","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Xylariales"," f__Apiosporaceae"," g__Arthrinium",NA,0.6
"2813","ASV2308","97d068fc858d9480098853d0b42e046a","d__Eukaryota"," p__Basidiomycota"," c__Tremellomycetes"," o__Filobasidiales"," f__Filobasidiaceae"," g__Naganishia",NA,0.6
"2814","ASV743","97da75a2735803a8320a292355fd4e0f","d__Eukaryota"," p__Mucoromycota"," c__Glomeromycetes",NA,NA,NA,NA,0.7
"2815","ASV1462","97f331151e0b1cbbe09021d2c48648ca","d__Eukaryota"," p__Basidiomycota"," c__Tremellomycetes"," o__Tremellales"," f__Rhynchogastremataceae"," g__Papiliotrema",NA,0.7
"2816","ASV2533","97f80cff13c69a64fa19521184470a20","d__Eukaryota"," p__Basidiomycota"," c__Agaricostilbomycetes"," o__Agaricostilbales",NA,NA,NA,1
"2817","ASV3684","98047cb327f976c5bc1d8401cb8f3fbc","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Pleosporales",NA,NA,NA,1
"2818","ASV1557","9813877cd56458cd327a6aa450d9e607","d__Eukaryota"," p__Basidiomycota"," c__Tremellomycetes"," o__Tremellales",NA,NA,NA,1
"2819","ASV1048","9814c43df725e2b8d908d494201474ed","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Glomerellales"," f__Plectosphaerellaceae"," g__Verticillium",NA,0.7
"2820","ASV604","981983a149195cfb4efe6e7e72ed32f2","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Pleosporales",NA,NA,NA,1
"2821","ASV4183","982a9ff55ca49695b60f125fa67bb843","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Xylariales",NA,NA,NA,1
"2822","ASV1202","983768e4304f4973979ee681ad608905","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales"," f__Incertae_Sedis",NA,NA,0.6
"2823","ASV2588","984348bcf4aae8d6303a6325aead881a","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,1
"2824","ASV1178","98485d6de7a5e0d6a02088453d944f6d","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Pleosporales",NA,NA,NA,1
"2825","ASV2774","985cc0b4a7b279e38f93cfc3bb130b51","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Corticiales"," f__Corticiaceae",NA,NA,0.7
"2826","ASV397","989eaf5e0a81232b6834c2f9120f97fb","d__Eukaryota"," p__Ascomycota"," c__Eurotiomycetes"," o__Onygenales"," f__Arthrodermataceae",NA,NA,0.8
"2827","ASV3957","98b476f99168a47eb2042091e854811c","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Togniniales"," f__Togniniaceae"," g__Phaeoacremonium",NA,0.556
"2828","ASV3827","98d4ee43de023e5b58991436b3ce5740","d__Eukaryota"," p__Ascomycota",NA,NA,NA,NA,NA,1
"2829","ASV1094","98e08bf4b8dd67868747568192372905","d__Eukaryota"," p__Ascomycota"," c__Eurotiomycetes"," o__Chaetothyriales"," f__Cyphellophoraceae"," g__Cyphellophora",NA,0.6
"2830","ASV4522","98fdc4eb7922d6b93e6c1609df0a6f55","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,1
"2831","ASV645","990ea7e73589a76aeb15bfc7972e665c","d__Eukaryota"," p__Ascomycota",NA,NA,NA,NA,NA,1
"2832","ASV1515","991d0bd550276246022b5ceae84a86d0","d__Eukaryota"," p__Ascomycota"," c__Eurotiomycetes"," o__Chaetothyriales",NA,NA,NA,0.6
"2833","ASV4506","991fcb699506b1a9fc5212fcff68830f","d__Eukaryota"," p__Ascomycota"," c__Saccharomycetes"," o__Saccharomycetales"," f__Incertae_Sedis"," g__Ambrosiozyma",NA,0.6
"2834","ASV2175","992faffa1007cc128663e8e25d4cfb59","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Agaricales",NA,NA,NA,0.8
"2835","ASV460","9937012de8d7703df4c7e574bb97fc04","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Ophiostomatales"," f__Ophiostomataceae",NA,NA,0.7
"2836","ASV4215","9955f1dd94e3b668405428924f8188b5","d__Eukaryota"," p__Mucoromycota",NA,NA,NA,NA,NA,0.6
"2837","ASV1390","995d122991b691d1781fc42c8781c5b0","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Xylariales",NA,NA,NA,0.9
"2838","ASV4131","996b516b6ca64a56105174bb9907781a","d__Eukaryota"," p__Basidiomycota"," c__Tremellomycetes"," o__Trichosporonales"," f__Trichosporonaceae"," g__Apiotrichum",NA,0.8
"2839","ASV4539","9976ae0e01bbefadb370834bcf320dcb","d__Eukaryota"," p__Ascomycota",NA,NA,NA,NA,NA,1
"2840","ASV2721","99940279932e93df1ab9e1b34c11adcf","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Diaporthales",NA,NA,NA,0.8
"2841","ASV171","99d03a2491ff5c9435cc7446a6ab5da3","d__Eukaryota"," p__Basidiomycota"," c__Exobasidiomycetes",NA,NA,NA,NA,1
"2842","ASV624","99e24b486c676f3b4448957064b4c88a","d__Eukaryota"," p__Basidiomycota"," c__Cystobasidiomycetes"," o__Incertae_Sedis"," f__Incertae_Sedis",NA,NA,0.8
"2843","ASV551","9a04168d576e0c20c541c0b402ecbb31","d__Eukaryota"," p__Basidiomycota"," c__Tremellomycetes"," o__Tremellales",NA,NA,NA,1
"2844","ASV153","9a16f9fd3e88357f806699d0a45a5aa1","d__Eukaryota"," p__Basidiomycota"," c__Cystobasidiomycetes"," o__Incertae_Sedis"," f__Incertae_Sedis",NA,NA,0.9
"2845","ASV2473","9a19daaf0d1fb1c2d44a6410167c244d","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Auriculariales"," f__Auriculariaceae"," g__Auricularia"," s__Auricularia_polytricha",0.6
"2846","ASV2446","9a1a70bfd3593b122a54b6106615c6e1","d__Eukaryota"," p__Basidiomycota"," c__Tremellomycetes"," o__Tremellales",NA,NA,NA,1
"2847","ASV3122","9a1d2d01f4386215313eeaabd6836632","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales",NA,NA,NA,1
"2848","ASV2227","9a20498a6da7d56aaa53262fd06b74b4","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Pleosporales",NA,NA,NA,1
"2849","ASV4330","9a23b44fb224ae963a8492d2fc87b277","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Microascales"," f__Graphiaceae"," g__Graphium",NA,1
"2850","ASV3070","9a33527d4ea494f2d00feb5c7e7c39c5","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Xylariales",NA,NA,NA,0.8
"2851","ASV391","9a493ff723d5378e2c178f5905385b7f","d__Eukaryota"," p__Ascomycota"," c__Saccharomycetes"," o__Saccharomycetales"," f__Debaryomycetaceae"," g__Yamadazyma-Candida_clade",NA,0.8
"2852","ASV2213","9a497065805e25a24f66ef822c567be4","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Polyporales",NA,NA,NA,0.6
"2853","ASV333","9a4e22dffe7034792253a6f21ba4b3e1","d__Eukaryota"," p__Ascomycota"," c__Eurotiomycetes"," o__Onygenales"," f__Arthrodermataceae",NA,NA,0.6
"2854","ASV4590","9a5c8053931766b2f8f8600b361d7c56","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Capnodiales"," f__Mycosphaerellaceae",NA,NA,0.8
"2855","ASV3287","9a5e3a3548678c3ed6ede50f6ca3bb4c","d__Eukaryota"," p__Chytridiomycota"," c__Chytridiomycetes",NA,NA,NA,NA,0.6
"2856","ASV3263","9a69e88c645bef93e4b515a93829840f","d__Eukaryota"," p__Ascomycota"," c__Leotiomycetes",NA,NA,NA,NA,0.6
"2857","ASV1703","9a6e2be80d38631bd725885b1aedb67f","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Botryosphaeriales",NA,NA,NA,0.7
"2858","ASV2677","9a9030d5b5d62fa615488fa0cae461fd","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Polyporales",NA,NA,NA,0.8
"2859","ASV1243","9accfa5bf00ff35c21fe8c9e4e26f4ea","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Cantharellales"," f__Tulasnellaceae"," g__Tulasnella"," s__uncultured_Tulasnella",1
"2860","ASV4228","9ae095eeecac6e7d97163d5c0c414fab","d__Eukaryota"," p__Ascomycota"," c__Leotiomycetes"," o__Helotiales",NA,NA,NA,0.6
"2861","ASV1476","9afba01938a0e8dc9bf4747b7d0f5888","d__Eukaryota"," p__Ascomycota"," c__Eurotiomycetes"," o__Chaetothyriales"," f__Trichomeriaceae"," g__Knufia",NA,0.6
"2862","ASV3690","9b1378e750611d899b65fd0982860537","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Pleosporales"," f__Didymellaceae"," g__Boeremia"," s__Boeremia_exigua",0.8
"2863","ASV3818","9b2a290f3bcbc9f5c4dec0cf14f05e6b","d__Eukaryota"," p__Ascomycota",NA,NA,NA,NA,NA,1
"2864","ASV3922","9b2fbf171363b9950c207905d11935e6","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,1
"2865","ASV1763","9b45772fa26228a4ea2187e967f1bcf3","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Russulales"," f__Stereaceae",NA,NA,0.6
"2866","ASV3579","9b66c86aa3aeb6b1de40308ecdd83fc2","d__Eukaryota"," p__Ascomycota"," c__Taphrinomycetes"," o__Taphrinales"," f__Taphrinaceae"," g__Taphrina",NA,1
"2867","ASV862","9b72985addbd93301b59c2b9430e2b44","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Botryosphaeriales",NA,NA,NA,0.6
"2868","ASV4216","9b75bf87131ac6943697539873e9e479","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes",NA,NA,NA,NA,0.8
"2869","ASV3270","9b79d302e7cb2bf411bbda69db2d9598","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes",NA,NA,NA,NA,0.6
"2870","ASV4500","9b93331e9edf1866a59d59fcde20d9c9","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Agaricales",NA,NA,NA,0.6
"2871","ASV2895","9b98d818b4ca0539d902ae8fa7f80c38","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,1
"2872","ASV1494","9bada97ed4bee17abfe9e88f0b8446ac","d__Eukaryota"," p__Mucoromycota",NA,NA,NA,NA,NA,0.6
"2873","ASV2995","9bb67f01a557ac90a094e1c7884013fc","d__Eukaryota"," p__Basidiomycota"," c__Exobasidiomycetes"," o__Microstromatales",NA,NA,NA,0.8
"2874","ASV314","9bc06fa5fcd5d5dd49ccf5a2b1487e8b","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Auriculariales"," f__Auriculariaceae"," g__Auricularia"," s__Auricularia_polytricha",0.6
"2875","ASV1437","9bc239cd3e15e0b4a54d685638b74781","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Pleosporales"," f__Leptosphaeriaceae"," g__Neophaeosphaeria",NA,0.6
"2876","ASV4491","9bc47aa1b16c45de4e0f3806509e4e61","d__Eukaryota"," p__Ascomycota"," c__Eurotiomycetes",NA,NA,NA,NA,0.6
"2877","ASV215","9bc7b3774f0e75cf0145d4d4d6782375","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Xylariales",NA,NA,NA,1
"2878","ASV1993","9be233112dc6b5c96aecaa741a8482d5","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Russulales",NA,NA,NA,0.6
"2879","ASV3514","9beaea88370faf082d23d963c3f848d5","d__Eukaryota"," p__Ascomycota",NA,NA,NA,NA,NA,1
"2880","ASV3145","9bf57fef145809a0c7814a8017aa8692","d__Eukaryota"," p__Basidiomycota"," c__Cystobasidiomycetes"," o__Erythrobasidiales"," f__Erythrobasidiaceae",NA,NA,0.6
"2881","ASV3381","9bf97aa01073df36292096b466f437d6","d__Eukaryota"," p__Ascomycota"," c__Saccharomycetes"," o__Saccharomycetales",NA,NA,NA,0.6
"2882","ASV1393","9c0e21f81d28f11051ac478b3604ddf0","d__Eukaryota"," p__Chytridiomycota"," c__Chytridiomycetes",NA,NA,NA,NA,0.7
"2883","ASV626","9c1716d3651cb498bdafa505d0681591","d__Eukaryota"," p__Ascomycota",NA,NA,NA,NA,NA,0.9
"2884","ASV2498","9c46fff9e35aaf6c09842d0cfc697cfd","d__Eukaryota"," p__Ascomycota",NA,NA,NA,NA,NA,1
"2885","ASV2502","9c524ed160294b700fb84e1adcb5bd14","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales",NA,NA,NA,1
"2886","ASV3354","9c594d55a53c17382df9586838c8c3cc","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Pleosporales"," f__Pleosporaceae",NA,NA,1
"2887","ASV1968","9c70e18f880f693b3018c3c57545fd74","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes",NA,NA,NA,NA,0.6
"2888","ASV4316","9c820cb9ef84b1a1fec09781e37b58cb","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Ophiostomatales"," f__Ophiostomataceae",NA,NA,0.7
"2889","ASV1447","9c8a4b17f154e9dfdec2f520052c2f08","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,0.7
"2890","ASV1895","9c980c6f0c567ba4cfed1466b85f91de","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Capnodiales",NA,NA,NA,0.8
"2891","ASV254","9cae2ba2a57d6bd2b3c31a1ab2e225a7","d__Eukaryota"," p__Basidiomycota"," c__Tremellomycetes"," o__Tremellales",NA,NA,NA,1
"2892","ASV1165","9cb2b675fcf553b1789b132bd5a952b0","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Polyporales",NA,NA,NA,0.6
"2893","ASV1479","9cbdd5df6a7746c0ee43029ca69b964e","d__Eukaryota"," p__Ascomycota"," c__Leotiomycetes"," o__Helotiales",NA,NA,NA,0.7
"2894","ASV1856","9ce15652bea9293735a115939a14cf7c","d__Eukaryota"," p__Cryptomycota"," c__Incertae_Sedis"," o__Incertae_Sedis"," f__Incertae_Sedis"," g__Paramicrosporidium"," s__uncultured_eukaryote",0.8
"2895","ASV1624","9ce1e3d43dd8b09a0c4a7a64648103af","d__Eukaryota"," p__Basidiomycota"," c__Tremellomycetes"," o__Trichosporonales"," f__Trichosporonaceae"," g__Vanrija",NA,0.8
"2896","ASV1214","9cefdfb9ee9c595bdbbc5f38ebc225c2","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes",NA,NA,NA,NA,0.8
"2897","ASV1652","9cfc861629cb87117d44434ca14da5ad","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Capnodiales",NA,NA,NA,0.8
"2898","ASV1708","9d03301d42859142cf3ce8259b634a38","d__Eukaryota"," p__Basidiomycota"," c__Microbotryomycetes",NA,NA,NA,NA,0.9
"2899","ASV80","9d0d71ccde35a658621f88b5dcba594d","d__Eukaryota"," p__Ascomycota"," c__Saccharomycetes"," o__Saccharomycetales"," f__Pichiaceae"," g__Pichia",NA,1
"2900","ASV4588","9d18531b8b0198ede27e15b1b671858f","d__Eukaryota"," p__Ascomycota"," c__Orbiliomycetes"," o__Orbiliales"," f__Orbiliaceae"," g__Arthrobotrys",NA,0.6
"2901","ASV496","9d2612abcdbdeeb1bab581f56988cc6c","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Agaricales",NA,NA,NA,0.8
"2902","ASV2050","9d3bbce8c1cee52987ade2f0e65a9b72","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Hypocreales",NA,NA,NA,1
"2903","ASV566","9d6c68f045b5d10667ee8de880b91a6b","d__Eukaryota"," p__Basidiomycota"," c__Tremellomycetes"," o__Tremellales",NA,NA,NA,0.8
"2904","ASV4520","9d7a35d75b9355bc0bbb6547eb9ee606","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes",NA,NA,NA,NA,0.7
"2905","ASV432","9d7be0f8022f4cbdc538c20cb92f6222","d__Eukaryota"," p__Ascomycota"," c__Saccharomycetes"," o__Saccharomycetales"," f__Metschnikowiaceae"," g__Metschnikowia",NA,0.9
"2906","ASV2616","9d8c46f4a45d407054d4e6dfc4b96aea","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Polyporales",NA,NA,NA,0.6
"2907","ASV3735","9d8e3df5bc3ad9355afaafdd00912057","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes",NA,NA,NA,NA,0.6
"2908","ASV588","9daedc1fe21f8a55479973da559484b1","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,0.8
"2909","ASV4639","9dbb6ff5d49209331bb5d2acb10073d2","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Agaricales"," f__Physalacriaceae",NA,NA,0.6
"2910","ASV546","9dbd34534621fae09ecec0c8289538a9","d__Eukaryota"," p__Ascomycota"," c__Eurotiomycetes"," o__Chaetothyriales"," f__Trichomeriaceae",NA,NA,0.7
"2911","ASV4321","9dd3b3ee8904c2b50367e91e0c93654d","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,0.6
"2912","ASV3858","9dd44642badf8283ce131982835f39b0","d__Eukaryota"," p__Ascomycota",NA,NA,NA,NA,NA,0.9
"2913","ASV4472","9df19fbfdff207515fdabd2f335ceb16","d__Eukaryota"," p__Basidiomycota"," c__Pucciniomycetes",NA,NA,NA,NA,0.8
"2914","ASV1356","9e1c625419c028cddf40ff507a6fb33e","d__Eukaryota"," p__Ascomycota"," c__Saccharomycetes"," o__Saccharomycetales"," f__Pichiaceae"," g__Pichia",NA,0.9
"2915","ASV3907","9e21d9d9d4d8c3b0d37f8848b4f9e713","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Capnodiales"," f__Cladosporiaceae"," g__Cladosporium"," s__uncultured_fungus",0.6
"2916","ASV606","9e2e4500083e4e3d47f32c0c5fc50410","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Xylariales",NA,NA,NA,0.9
